Date,Short Volume,Total Volume
2010-06-29,519232.0,1086984.0
2010-06-30,309457.0,629033.0
2010-07-01,112425.0,299553.0
2010-07-02,153978.0,225273.0
2010-07-06,179262.0,308389.0
2010-07-07,161303.0,307225.0
2010-07-08,210380.0,455840.0
2010-07-09,101845.0,180458.0
2010-07-12,53050.0,89049.0
2010-07-13,44450.0,79935.0
2010-07-14,124140.0,196039.0
2010-07-15,121958.0,205888.0
2010-07-16,66112.0,118756.0
2010-07-19,51462.0,106960.0
2010-07-20,36756.0,71289.0
2010-07-21,17300.0,91108.0
2010-07-22,16720.0,42052.0
2010-07-23,7900.0,19700.0
2010-07-26,42496.0,63265.0
2010-07-27,15307.0,30617.0
2010-07-28,8200.0,18770.0
2010-07-29,7500.0,34459.0
2010-07-30,11573.0,44791.0
2010-08-02,13400.0,48363.0
2010-08-03,40336.0,109079.0
2010-08-04,5800.0,57899.0
2010-08-05,11712.0,41476.0
2010-08-06,9200.0,50480.0
2010-08-09,33414.0,81418.0
2010-08-10,10205.0,38184.0
2010-08-11,20537.0,43275.0
2010-08-12,15000.0,39569.0
2010-08-13,13593.0,29128.0
2010-08-16,15633.0,34196.0
2010-08-17,21460.0,35763.0
2010-08-18,14706.0,36643.0
2010-08-19,11860.0,32982.0
2010-08-20,10924.0,16137.0
2010-08-23,19892.0,48445.0
2010-08-24,15395.0,34023.0
2010-08-25,12100.0,24636.0
2010-08-26,10600.0,20600.0
2010-08-27,36431.0,46993.0
2010-08-30,32405.0,65982.0
2010-08-31,8900.0,20130.0
2010-09-01,20922.0,31536.0
2010-09-02,19722.0,51983.0
2010-09-03,10402.0,29372.0
2010-09-07,8050.0,17050.0
2010-09-08,3450.0,17900.0
2010-09-09,6970.0,17370.0
2010-09-10,6191.0,19495.0
2010-09-13,5200.0,12500.0
2010-09-14,9701.0,30806.0
2010-09-15,41168.0,55718.0
2010-09-16,102234.0,218231.0
2010-09-17,49950.0,95288.0
2010-09-20,40769.0,56961.0
2010-09-21,37517.0,62677.0
2010-09-22,79843.0,107009.0
2010-09-23,38042.0,48942.0
2010-09-24,27670.0,34398.0
2010-09-27,23800.0,34682.0
2010-09-28,60942.0,88842.0
2010-09-29,86130.0,108401.0
2010-09-30,69453.0,89730.0
2010-10-01,27236.0,35156.0
2010-10-04,13700.0,30600.0
2010-10-05,8394.0,29401.0
2010-10-06,14400.0,24050.0
2010-10-07,4300.0,8958.0
2010-10-08,6708.0,11400.0
2010-10-11,1864.0,7229.0
2010-10-12,6500.0,11770.0
2010-10-13,6800.0,12300.0
2010-10-14,11000.0,18375.0
2010-10-15,7698.0,15098.0
2010-10-18,3700.0,8300.0
2010-10-19,19335.0,28210.0
2010-10-20,17943.0,26072.0
2010-10-21,5700.0,13700.0
2010-10-22,2200.0,6309.0
2010-10-25,1950.0,7030.0
2010-10-26,3052.0,15975.0
2010-10-27,9200.0,16400.0
2010-10-28,12507.0,17757.0
2010-10-29,7900.0,15882.0
2010-11-01,7990.0,15014.0
2010-11-02,7130.0,12367.0
2010-11-03,15997.0,22797.0
2010-11-04,46761.0,86057.0
2010-11-05,25047.0,53464.0
2010-11-08,12600.0,19600.0
2010-11-09,24416.0,47296.0
2010-11-10,86505.0,212511.0
2010-11-11,35135.0,109187.0
2010-11-12,43927.0,134978.0
2010-11-15,73537.0,151243.0
2010-11-16,30964.0,76743.0
2010-11-17,23093.0,43376.0
2010-11-18,21100.0,49762.0
2010-11-19,42876.0,87075.0
2010-11-22,55214.0,116789.0
2010-11-23,41036.0,121267.0
2010-11-24,61110.0,123485.0
2010-11-26,13756.0,25503.0
2010-11-29,48491.0,117205.0
2010-11-30,66996.0,137670.0
2010-12-01,20978.0,97796.0
2010-12-02,58371.0,214175.0
2010-12-03,20773.0,87575.0
2010-12-06,38890.0,101695.0
2010-12-07,26523.0,96725.0
2010-12-08,14354.0,50373.0
2010-12-09,3647.0,34574.0
2010-12-10,14200.0,37845.0
2010-12-13,9300.0,36217.0
2010-12-14,22863.0,94293.0
2010-12-15,24913.0,69370.0
2010-12-16,33546.0,87551.0
2010-12-17,14133.0,44796.0
2010-12-20,9217.0,37523.0
2010-12-21,26531.0,74494.0
2010-12-22,48659.0,76047.0
2010-12-23,61259.0,91773.0
2010-12-27,103456.0,552958.0
2010-12-28,80667.0,312857.0
2010-12-29,46386.0,151954.0
2010-12-30,76900.0,154021.0
2010-12-31,32594.0,62933.0
2011-01-03,33236.0,88098.0
2011-01-04,18489.0,45909.0
2011-01-05,29776.0,60679.0
2011-01-06,31962.0,138422.0
2011-01-07,42109.0,93481.0
2011-01-10,35458.0,82334.0
2011-01-11,41989.0,85314.0
2011-01-12,28877.0,45500.0
2011-01-13,10880.0,17479.0
2011-01-14,27722.0,66335.0
2011-01-18,30934.0,71114.0
2011-01-19,103690.0,221196.0
2011-01-20,69348.0,150497.0
2011-01-21,37308.0,96366.0
2011-01-24,57281.0,123772.0
2011-01-25,60323.0,105436.0
2011-01-26,39800.0,73601.0
2011-01-27,33730.0,53795.0
2011-01-28,34490.0,53234.0
2011-01-31,37730.0,63525.0
2011-02-01,26190.0,38340.0
2011-02-02,34119.0,53139.0
2011-02-03,21479.0,34465.0
2011-02-04,30300.0,41700.0
2011-02-07,58379.0,88043.0
2011-02-08,147042.0,224733.0
2011-02-09,84541.0,160906.0
2011-02-10,31122.0,82229.0
2011-02-11,28834.0,41034.0
2011-02-14,29887.0,65973.0
2011-02-15,55432.0,88166.0
2011-02-16,107847.0,254239.0
2011-02-17,86313.0,175029.0
2011-02-18,83402.0,162323.0
2011-02-22,43438.0,100599.0
2011-02-23,39913.0,74583.0
2011-02-24,51833.0,174247.0
2011-02-25,36300.0,62820.0
2011-02-28,56519.0,66019.0
2011-03-01,61597.0,73684.0
2011-03-02,37600.0,49850.0
2011-03-03,20900.0,31902.0
2011-03-04,65801.0,100076.0
2011-03-07,97538.0,159793.0
2011-03-08,56812.0,103732.0
2011-03-09,32327.0,57106.0
2011-03-10,39560.0,82644.0
2011-03-11,48916.0,104958.0
2011-03-14,92992.0,148965.0
2011-03-15,56442.0,110900.0
2011-03-16,55591.0,77364.0
2011-03-17,44533.0,69539.0
2011-03-18,30144.0,40541.0
2011-03-21,14594.0,22094.0
2011-03-22,16267.0,27800.0
2011-03-23,14600.0,21500.0
2011-03-24,10440.0,20240.0
2011-03-25,21589.0,38520.0
2011-03-28,47405.0,70196.0
2011-03-29,28803.0,39703.0
2011-03-30,55174.0,81907.0
2011-03-31,165004.0,440766.0
2011-04-01,100356.0,158303.0
2011-04-04,71462.0,145955.0
2011-04-05,62697.0,135134.0
2011-04-06,57700.0,100602.0
2011-04-07,43613.0,118989.0
2011-04-08,67141.0,107281.0
2011-04-11,63708.0,104272.0
2011-04-12,44903.0,112593.0
2011-04-13,26500.0,49014.0
2011-04-14,32215.0,59086.0
2011-04-15,24300.0,56644.0
2011-04-18,41462.0,63419.0
2011-04-19,10300.0,21400.0
2011-04-20,15750.0,22750.0
2011-04-21,21464.0,41264.0
2011-04-25,22565.0,30073.0
2011-04-26,42348.0,77457.0
2011-04-27,39932.0,64100.0
2011-04-28,26610.0,80884.0
2011-04-29,24227.0,40213.0
2011-05-02,25214.0,44389.0
2011-05-03,32835.0,57416.0
2011-05-04,23072.0,54629.0
2011-05-05,53476.0,94846.0
2011-05-06,12209.0,42480.0
2011-05-09,20022.0,42829.0
2011-05-10,25767.0,77011.0
2011-05-11,17018.0,60037.0
2011-05-12,14300.0,41626.0
2011-05-13,14202.0,22997.0
2011-05-16,20978.0,46587.0
2011-05-17,52900.0,105637.0
2011-05-18,19753.0,46452.0
2011-05-19,79753.0,157661.0
2011-05-20,26233.0,47498.0
2011-05-23,34682.0,68191.0
2011-05-24,23187.0,36424.0
2011-05-25,204782.0,405251.0
2011-05-26,110941.0,216964.0
2011-05-27,45944.0,89660.0
2011-05-31,109682.0,187832.0
2011-06-01,56273.0,95819.0
2011-06-02,38532.0,75239.0
2011-06-03,216755.0,442549.0
2011-06-06,74502.0,178471.0
2011-06-07,47750.0,93561.0
2011-06-08,44893.0,101388.0
2011-06-09,78933.0,148432.0
2011-06-10,42336.0,117917.0
2011-06-13,57328.0,106597.0
2011-06-14,45472.0,107960.0
2011-06-15,44075.0,96194.0
2011-06-16,81440.0,132138.0
2011-06-17,102701.0,181972.0
2011-06-20,78457.0,120332.0
2011-06-21,55743.0,87627.0
2011-06-22,81950.0,114883.0
